source,target,weight,source_label,target_label
UCGzXwyCzMzGmjmCbH3Hg01Q,UCljDbleJul41G1TzOjOZAVA,1,@FidelZacarias-ph7dy,@hectorcarranza3777
UCGzXwyCzMzGmjmCbH3Hg01Q,UCmjppp6ujz3SAnULvP3sZMw,1,@FidelZacarias-ph7dy,@marcomendez7509
UCGzXwyCzMzGmjmCbH3Hg01Q,UCmvOgzmmXbjUthHy-WJ52hQ,1,@FidelZacarias-ph7dy,@mariorodas593
UCGzXwyCzMzGmjmCbH3Hg01Q,UCp4iw5_5SmV9VGTFSNVGOmQ,1,@FidelZacarias-ph7dy,@CARLOSSTREMS51
UCGzXwyCzMzGmjmCbH3Hg01Q,UCpIdtvoFHVLGASGB5ySqIEA,1,@FidelZacarias-ph7dy,@VidalVillatoro-p4w
UCGzXwyCzMzGmjmCbH3Hg01Q,UCpl8rF8uv_8uui-QRvuJaRA,1,@FidelZacarias-ph7dy,@SergioGarcia-z9c
UCGzXwyCzMzGmjmCbH3Hg01Q,UCplrIQtaPj6au60_f2-mOYw,1,@FidelZacarias-ph7dy,@romeolopezherrarte799
UCGzXwyCzMzGmjmCbH3Hg01Q,UCpsKOkt5iWTbenzeuq7dsmQ,1,@FidelZacarias-ph7dy,@inge_vergueta
UCGzXwyCzMzGmjmCbH3Hg01Q,UCr1emrogPKkKTs_WTtx71xg,1,@FidelZacarias-ph7dy,@domingopeneleu6457
UCGzXwyCzMzGmjmCbH3Hg01Q,UCrJn_rbo_ENAdeqneS-RmRw,1,@FidelZacarias-ph7dy,@josecarrera9623
UCGzXwyCzMzGmjmCbH3Hg01Q,UCsJJAvrVGupdmhOqgtDp8dg,1,@FidelZacarias-ph7dy,@nestorlorenzana1168
UCGzXwyCzMzGmjmCbH3Hg01Q,UCsSXdJct-nsS8DsABoEsaYA,1,@FidelZacarias-ph7dy,@IvánPérez-j4j
UCGzXwyCzMzGmjmCbH3Hg01Q,UCsUCN0Yq_UyTvKjOJLmNrnQ,1,@FidelZacarias-ph7dy,@moisesvaldez4043
UCGzXwyCzMzGmjmCbH3Hg01Q,UCsjs5Hp_r86x1xbK6FAeqaA,1,@FidelZacarias-ph7dy,@alvaroesquivel563
UCGzXwyCzMzGmjmCbH3Hg01Q,UCtNfIBnc5S5DbbQj_yxgJTw,1,@FidelZacarias-ph7dy,@JosueRamirez-ey3ih
UCGzXwyCzMzGmjmCbH3Hg01Q,UCtUR3_CAiE7fCoZHM6cMfyQ,1,@FidelZacarias-ph7dy,@mdelcid01
UCGzXwyCzMzGmjmCbH3Hg01Q,UCueV9cTyTDwgQSec1x2dYgA,1,@FidelZacarias-ph7dy,@fredydomingo7062
UCGzXwyCzMzGmjmCbH3Hg01Q,UCujPF2nBgsTD62nWE3lcpIg,1,@FidelZacarias-ph7dy,@victorarturoruanobautista7588
UCGzXwyCzMzGmjmCbH3Hg01Q,UCut6b9S98nv84cVX89PmKzA,1,@FidelZacarias-ph7dy,@yeniferaguirre4498
UCGzXwyCzMzGmjmCbH3Hg01Q,UCvApqeCbLod-wejtT4CcVuA,1,@FidelZacarias-ph7dy,@davidgaher9550
UCGzXwyCzMzGmjmCbH3Hg01Q,UCwO2SXr0ggzwg6QWWrr01nQ,1,@FidelZacarias-ph7dy,@ricardofigueroa5720
UCGzXwyCzMzGmjmCbH3Hg01Q,UCwW2OFy95P7ZBkOPxWkpvYg,1,@FidelZacarias-ph7dy,@TeresaLucero-b5o
UCGzXwyCzMzGmjmCbH3Hg01Q,UCwha8rxULYMVtNwZWeSkE1A,1,@FidelZacarias-ph7dy,@mariasamo8637
UCGzXwyCzMzGmjmCbH3Hg01Q,UCxff05WuyvwELNITi7bj7UA,1,@FidelZacarias-ph7dy,@markoherrera
UCGzXwyCzMzGmjmCbH3Hg01Q,UCySYJU5kUh7X8gVt9la2ISA,1,@FidelZacarias-ph7dy,@dantesarti4351
UCGzXwyCzMzGmjmCbH3Hg01Q,UCylqlpsh8ENNM1LqgQ1KbxA,1,@FidelZacarias-ph7dy,@Jel.Awesh.M
UCGzXwyCzMzGmjmCbH3Hg01Q,UCz3gu01bmjNv0DpRq-K3XYg,1,@FidelZacarias-ph7dy,@eusebiovasquez4385
UCGzXwyCzMzGmjmCbH3Hg01Q,UCzSfZlOVxBSs5ObD25ywxDQ,1,@FidelZacarias-ph7dy,@GilmarMaldonado-q9m
UCGzXwyCzMzGmjmCbH3Hg01Q,UCzoL2l5H5eVlorWGH8AZfAg,1,@FidelZacarias-ph7dy,@jor77cas
UCHGd14aYuZZShLD73dkk6mg,UCQIdKuZ-OzuFqy0KjGrgesg,1,@noemiherrera3152,@lyacausa
