node_id,node_type,raw_id,label,comunidad
author::UCO0zwwLWGyDgQmWPJ5Qrr1w,author,UCO0zwwLWGyDgQmWPJ5Qrr1w,@elsalvador3605,8
author::UCOARn3hnfkB7-_Rwa8Hoqcw,author,UCOARn3hnfkB7-_Rwa8Hoqcw,@nicelol5241,3
author::UCOLGv5Pf6BF2wFcwUzgcvHg,author,UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,1
author::UCOLHH4ZpMxPYF-Q6e6wvn5A,author,UCOLHH4ZpMxPYF-Q6e6wvn5A,@luisroldan7374,6
author::UCOS8ViEkccrTZx2w2ccxotA,author,UCOS8ViEkccrTZx2w2ccxotA,@OscarHernandez-q8y,1
author::UCOY3XpD9qMCRSA8AA8c4CAw,author,UCOY3XpD9qMCRSA8AA8c4CAw,@franciscorodas9686,3
author::UCOcUI5XkTYNMSFhZNMIPpGg,author,UCOcUI5XkTYNMSFhZNMIPpGg,@hendersonlopez3864,2
author::UCOh6DaZC_x9HASnlRylEMfw,author,UCOh6DaZC_x9HASnlRylEMfw,@AndresMedina-v1s,1
author::UCPLW0HE3siElqCgXfgWxMqg,author,UCPLW0HE3siElqCgXfgWxMqg,@elizabethmonterroso7719,14
author::UCPNXmbOBVeC4HS-xemvcPtQ,author,UCPNXmbOBVeC4HS-xemvcPtQ,@BelkisRodriguezRamirez,6
author::UCPZueDLrCS4BmTBRMA4q0fA,author,UCPZueDLrCS4BmTBRMA4q0fA,@kevinochoa3695,7
author::UCQIdKuZ-OzuFqy0KjGrgesg,author,UCQIdKuZ-OzuFqy0KjGrgesg,@lyacausa,12
author::UCQM2tCKRRytVDRxNUfCDqQQ,author,UCQM2tCKRRytVDRxNUfCDqQQ,@elioelias7267,15
author::UCQMMuADgqWUOcJpLwHOzC-g,author,UCQMMuADgqWUOcJpLwHOzC-g,@Ripped-Yoda,6
author::UCQ_-LPP8JAbfkc-b1Q6NvWw,author,UCQ_-LPP8JAbfkc-b1Q6NvWw,@MegaKristenstewart,1
author::UCQgYjVngJRfPHDLGB5X6ZjA,author,UCQgYjVngJRfPHDLGB5X6ZjA,@oscarnavas9996,1
author::UCQqetiwzzmRNTM5OWuXarGQ,author,UCQqetiwzzmRNTM5OWuXarGQ,@isaiaslopezvelasquez1539,1
author::UCQqlPPUGqAfWjd-FSh_qn7Q,author,UCQqlPPUGqAfWjd-FSh_qn7Q,@estuardoargueta137,2
author::UCQtICyzWmhC5woCtbNgaSmg,author,UCQtICyzWmhC5woCtbNgaSmg,@nestormendez6216,1
author::UCQtSFINs1h6GHkpg9o5kMvg,author,UCQtSFINs1h6GHkpg9o5kMvg,@MacarioMartinezruiz,1
author::UCQyOePccUP-fIJYzchAgZYw,author,UCQyOePccUP-fIJYzchAgZYw,@aguilar4254,2
author::UCRAquv8el-tQ30bN7MlmySQ,author,UCRAquv8el-tQ30bN7MlmySQ,@iamjimalesssa,2
author::UCRETAiYdh2dL5ZxB0_N1zDA,author,UCRETAiYdh2dL5ZxB0_N1zDA,@Joseroland21,1
